How do I access my books?,"All of your textbooks, lab manuals and faculty-created readers are included in Equitable Access for just $199 per quarter when you pay your student fees. For additional information including how to opt out, please visit the Equitable Access Student FAQ. Textbooks available in digital format will be provided as e-books. To access your e-books, click on the Bookshelf option in the Canvas navigation menu. If you do not have a posted class on your Canvas page you may access your e-books through the account menu on the top left of your main Canvas page. Required textbooks that don’t have a digital equivalent are also included at no additional cost. Printed textbooks and other materials may be picked up at the Campus Bookstore or shipped if you are unable to pick up your books in person. We are unable to predict shipping delays due to COVID-19. Therefore, if you are able to visit the Campus Store, picking up your printed textbooks in person will be the most efficient option."
Are there going to be caps on class sizes if they are offered remotely?,"Most remote courses will still have caps, though the caps may be higher than the equivalent in-person class. Courses must maintain reasonable enrollment caps to prevent overloading the work of instructors, teaching assistants and readers."
Will students have access to professors and office hours?,"Instructors will continue to hold regular office hours via remote means. If you have scheduling questions about office hours, contact your instructor."
Will professors be lenient if students are feeling ill?,"Instructors are encouraged to provide reasonable accommodations for students who are feeling ill. Students testing positive for COVID-19 or with COVID-19 symptoms should not attend in-person classes and should seek treatment at Student Health and Counseling Services. Please also follow the campus reporting protocol. For students attending class remotely, please contact your instructor if you are unable to attend a particular class or classes due to health reasons."
Will professors be accommodating of students in different time zones or with varying levels of access to consistent Wi-Fi or a home computer?,Instructors with students in different time zones and with synchronous presentations have been advised to take time differences into consideration.
Should I focus on general education courses if things are remote and save STEM classes for when I can take them on campus?,"We encourage you to continue making progress toward your major, but please consult your advisor regarding your individual academic plans."
How do I decide what classes to take?,Please consult your advisor regarding your individual academic plans.
Will remote online classes be recorded?,This is at the discretion of your instructor. Instructors are encouraged to record class sessions if it is feasible and appropriate for their course.
Will any courses be offered in both remote and in-person modes?,We are not planning to offer courses where some students join remotely and other students attend in person. All students in a course will receive the same method of instruction.
Can students enroll in an in-person course after the quarter has started if the enrollment cap has already been met?,Students will not be able to enroll in an in-person course that has already reached capacity. Please talk to your instructor if you are unable to be on campus by the start of the quarter.
What will winter and spring quarter look like?,"While there will be more in-person offerings in winter quarter than fall, most classes will be held remotely, including all lectures and the majority of discussion sections for undergraduate students and graduate students. We will continue to offer a limited number of in-person classes with educational objectives that can be met only through in-person instruction, such as several studio, performance, and advanced laboratory courses, and those requiring specialized equipment, as well as other specific requirements. These classes will follow strict public health guidelines related to required saliva testing, face coverings, physical distancing, daily symptom surveys, disinfecting practices, and appropriate ventilation systems, among others."
"If I need additional help with classes, who can I turn to?",Please consult with your advisor or instructor regarding your individual situation.
Where can I find academic advising information?,Your college and/or major department advising offices:
How do I schedule an appointment with my academic advisor?,Schedule appointments per usual through your appointment system. Students within the College of Biological Sciences can schedule appointments through BASC. All other students can schedule appointments through the Advising Appointment System.
Can I schedule an in-person appointment?,"In order to comply with campus and community directives, academic advising will only happen remotely. No in-person meetings will occur. You will be able to connect via Zoom or phone."
What are the factors to consider before electing to take a course P/NP?,Important factors to consider include:
How do I change my grading option?,Use Schedule Builder to follow the regular process for changing your grading option.
Can I change from P/NP back to a letter grade?,"Yes. You can opt for P/NP grading in a course, or revert back to letter grading, up until the P/NP deadline. For Fall, the deadline is December 11, 2020."
Will taking a class P/NP impact my GPA?,P/NP grades are not factored into the GPA calculation.
Will taking a class P/NP impact my time to graduation?,"That depends on whether a letter grade in the class is required by your major or college. Additionally, courses in which you receive an “NP” grade yield no units toward graduation."
I am repeating a course after taking it for a letter grade. Can I take it P/NP?,No.
I am not in good academic standing. Can I take a course P/NP in Fall 2020?,"Normally, you must be in good academic standing to take courses P/NP. For Fall 2020, you may petition your dean’s office for approval to take specific courses on a P/NP basis."
Who should I talk to if I’m not sure what to do?,"You should start by contacting your academic advisor in your Dean’s Office (or BASC, if you are a College of Biological Student) or your major advisor if the course you are considering changing to P/NP is specifically required for your major. Don’t panic if you cannot get an appointment with an advisor right away. Remember, you don’t need to make this decision immediately. The deadline to opt for P/NP grading, or to revert back to letter grading, has been extended to the last day of instruction for Fall2020 (December 11, 2020)."
Will my financial aid/scholarships be affected if fall quarter is virtual?,"Housing is one of the factors used to calculate the cost of attendance, so changes in where you choose to live may affect the amount of financial aid available to you. For example, living with parents is less expensive than on-campus housing. Estimates for different living options can be found in the Undergraduate Cost of Attendance."
Can I request a change to my financial aid for the 2020-21 academic year?,UC Davis understands that the financial circumstances of some families have been adversely affected by the COVID-19 pandemic. Affected students — both incoming and continuing — may file an appeal for revision to financial aid. Information about appealing for a revision of financial aid is on the financial aid website. The campus offers the Financial Aid Net Price Calculator to help undergraduates estimate how their financial aid may change based on new circumstances.
Will work-study positions still be available? Will they be available for remote work?,"Staff from Financial Aid and Scholarships are working with work-study employers, both on and off campus, to determine what positions will be available for in-person and/or remote work. The university has authorized more job functions to be eligible for remote work, and campus departments are actively looking to make more student positions available for remote work."
How does Pass/No Pass grading from the spring 2020 quarter affect my financial aid?,"The transition to a Pass/No Pass (or Satisfactory/Unsatisfactory) grading system may affect your Satisfactory Academic Progress, standards that a student must meet to be eligible for financial aid. For more information, please see the FAQs for Satisfactory Academic Progress."
Will CARES Emergency Relief grants be available?,"The student grant component of the CARES ACT provided one-time funding. Of the $16.9 million available for UC Davis students, most had been disbursed by July 1 with some remaining for students enrolled in Summer Sessions II. For more, visit the CARES grants reporting page and our CARES Act FAQs."
Who can I contact for financial aid help?,"To contact Financial Aid and Scholarships, please use Contact an Expert. To address a high volume of inquiries, the office is focused on responding to Contact an Expert inquiries. For quick answers to common questions, please visit Financial Aid and Scholarships FAQs."
"If I have a work-study job, how will I get my paycheck?","For UC Davis work-study jobs, students should sign up for direct deposit to their bank account at least one week before starting the job."
What is the status of tuition and mandatory fees?,"Tuition and systemwide fees are set by the Regents for all UC campuses, and most campus-based fees are generated through a student-involved referenda process. Tuition, systemwide fees and most campus-based fees are not increasing this year. More information regarding campus-based fees is included in this recent post. Some or all instruction for all or part of Academic Year 20-21 may be delivered remotely. Tuition and mandatory fees have been set regardless of the method of instruction and will not be refunded in the event instruction occurs remotely for any part of the Academic Year. "
What are tuition and mandatory fees being used for?,"Mandatory university charges for tuition and student services continue to help cover ongoing operations including the delivery of instruction and the cost of student services such as registration, financial aid, remote academic advising and mental health services. Our teaching continues, even as its method of delivery has changed. Students are connecting with and learning from world-class faculty, completing coursework, earning full course credit, and making progress toward an immensely valuable UC Davis degree. UC Davis student services continue to be available to students via remote options including academic assistance and tutoring, student basic needs and mental health, internship and career services, fitness and wellness programs, and many more to ensure that the term remains a very powerful and enriching one for our students. More information can be found in the Campus Resources section of the Student FAQ."
What is the status of Course Materials and Services Fees?,"With the campus providing remote delivery of instruction for fall 2020 and winter 2021, UC Davis is continuing to suspend all undergraduate and graduate Course Materials and Services Fees that are tied to specific courses. Course Materials and Services Fees associated with DVM, MBA, and MD programs, which have a different structure (generally charged at the program level instead of the course level), will not be suspended. Please note that you may see the fees reflected in Schedule Builder, however, the fees described above will not be charged in the billing process."
"If the numbers of COVID-19 cases increase, will campus suspend operations again? If operations are suspended, what happens to students living on campus? Will they be able to stay?","If the campus is ordered by public health officials for any reason to further reduce occupancy in our housing facilities, Student Housing will work to house any students that do not have alternative housing available to them, while staying in compliance with any mandates laid out by campus, county or state health officials."
Will parents be allowed to come pick up their students in residence halls if they become ill with COVID-19?,"If a UC Davis student is quarantined or isolated, they must remain within their rooms for the duration of the quarantine or isolation in compliance with state and county public health guidance. The campus will provide isolation rooms and food services for students living in on-campus housing. One of the purposes of the quarantine or isolation is to prevent any potential, further spread of COVID-19. This guidance may change based on guidance from county and state quarantine and isolation mandates."
"If housing is not guaranteed, will I get my deposit back?","Because many students rely on us for their housing and meals every year, Student Housing and Dining Services is committed to being open this fall."
Will I still have roommates in the residence halls?,"Student Housing and Dining Services has modified housing density for residence halls to align with public health guidance, and we are planning to offer single-occupancy bedrooms for 2020-21. Residents will pay the double-occupancy rate. We are working with our campus partners to help aid qualified students in situations of financial distress. If this applies to you, please email the Student Housing and Dining Services office for assistance."
What is physical distancing going to look like within the residence halls?,"Pending public health guidelines, common spaces such as living rooms will be open; however, physical distancing still needs to be at least 6 feet or greater at all times. Each resident will be assigned to a specific restroom. In addition, face coverings must be worn at all times whenever you are outside your bedroom."
What will physical distancing look like in the dining commons?,"At this time, we anticipate most students will take their food to go; we’re currently looking at offering online orders with “curbside pickup” as an option to streamline to-go meals. We also hope to have limited indoor seating, with seats spaced 6 feet apart, and are looking into the feasibility of table reservations to streamline dine-in services. To-go service is available at all dining commons, while dine-in service will be available only to students living in that residence hall area (for instance, Segundo residents will dine in Segundo Dining Commons only). In addition, face coverings must be worn on campus, including inside the dining commons, with the exception of when eating at the table."
What happens if someone in my residence hall gets sick with COVID-19?,"If a residence hall student tests positive for COVID-19 or is diagnosed by a physician, guidance will be given by the Yolo County Health Department and UC Davis Student Health and Counseling Services (SHCS). The student will be temporarily relocated to an assigned isolation space for a time period defined by public health authorities and CDC guidelines (typically 14 days)."
Will there be contactless ways to access spaces that require a student ID?,"Spaces requiring AggieCards for access are contactless. For example, accessing the Dining Commons is done by contactless swiping through a card reader before walking into the Dining Commons; accessing residence halls themselves, as well as their computer centers, is done by swiping the AggieCard through a card reader to unlock the door. There are no interpersonal contacts required for access. Students should continue to wear their face coverings and allow appropriate physical distance between themselves and others at all times."
How will decisions be made about who gets to live in the residence hall if there are room caps?,"Currently, Student Housing and Dining Services can house all students who have housing contracts."
What happens if my child is quarantined because they have or were exposed to COVID-19? Can I come get them?,"If a UC Davis student is quarantined or isolated, they must remain within their rooms for the duration of the quarantine or isolation based on state and county public health guidance. One of the purposes of the quarantine or isolation is to prevent any potential, further spread of COVID-19. This guidance may change based on guidance from county and state quarantine and isolation mandates."
Should I come live on campus or stay at home? When will I know if I have any in-person classes that would mean I should come and live in Davis?,Please review the information provided in the Classes and Instruction section regarding remote and in-person instruction. We recommend students make the best decision for their academic goals and personal health. Decisions will almost certainly vary for each student.
"What is the guidance for students who live in Sol at West Village, The Colleges at LaRue, 8th and Wake, Russell Park, LaRue Park, Co-ops, fraternities or sororities? ","These properties are not owned by the campus and have their own housing policies. Please contact your building/house manager for details. In the event your current housing will close down and you do not have other options or would prefer to stay in Davis, please e-mail the Student Housing and Dining Services Office for assistance in securing a university housing contract."
"What is the guidance for students living in private, rental housing?","We know many of you are struggling with your plans for private housing in Davis, on and off campus. In a recent joint statement, UC Davis and the city of Davis outlined our efforts to provide support and resources on housing issues. In addition, we encourage you to review the City of Davis eviction moratorium and economic relief measures that have been extended through Sep 30 and the Yolo County’s Eviction Prevention Ordinance will remain in effect for 180 days after public health and local emergencies are terminated. "
What do I do if I am experiencing a housing crisis or may lose housing?,"If you are experiencing a housing crisis or may lose housing, please contact the Aggie Compass Basic Needs Center for support. They offer a variety of housing resources, including:"
How will the campus support students remotely?,"The Academic Assistance and Tutoring Center will offer its full range of services remotely for the 2020-21 school year. There will be synchronous and asynchronous options for classes, workshops, office hours, individual tutoring and writing appointments."
Will I have access to the library?,"The UC Davis Library is sharing information about plans for fall quarter on its website. The information addresses building hours, availability of collections (including remote access), study spaces, access to Wi-Fi, librarian assistance and other special services."
What do I do if I qualify for academic accommodations and have concerns about the impact that remote instruction may have on me? ,"Please contact the Student Disability Center for any questions or concerns related to requests for accommodation, approval of services, or equitable access to educational programs."
Will I be able to find a job on campus?,"While getting a job or internship may be more competitive this year, on- and off-campus opportunities are available. In fact, the increase in remote work has opened up some additional possibilities for students — wherever they are. Check out the postings in Handshake, an online platform where UC Davis students and alumni can connect with employers. The Internship and Career Center offers workshops to help students pursue their goals, including some that are focused on interviewing and working remotely."
Will I get to conduct research or participate in an internship?,"There are opportunities for internships, student jobs and research experience, though most would be done remotely for now. In fact, the increase in remote work has opened up some additional possibilities for students — wherever they are. Check out the postings in Handshake, an online platform where UC Davis students and alumni can connect with employers."
"If campus is open, will all student resources be available in-person or will some be open and others remote?","Student services such as academic advising, the Internship and Career Center, Campus Recreation, Global Learning Hub and many others will continue to offer services remotely and through on-site operations in compliance with public health guidance. We recommend checking with the department or service directly regarding their current status."
Are case managers still available through the Office of Student Support and Judicial Affairs? ,"Yes. case managers are available to support students struggling with challenges and crisis-related issues that interfere with their academic and student life success. OSSJA non-clinical case managers receive information, identify resources, reach out to students and follow up so that students receive assistance with their needs. OSSJA case managers are not licensed counselors and do not provide therapy. They do not replace the critical role that Student Health and Counseling Services has on our campus to help students, but they do serve as an important point of contact for students or anyone who is concerned about a student."
What is the status of Study Abroad programs?,"Based on UC guidance and recent advisories from the CDC, UC Davis has suspended all its international and U.S.-based study and intern abroad programs through spring 2021. Specific details and resources have been sent to students who enrolled in programs so that they can plan for other opportunities. For more information on UC Education Abroad Program (UCEAP) programs visit the UCEAP website."
Is the Global Learning Hub still operating?,"While study abroad has been canceled until summer 2021, the Global Learning Hub offers many other services such as Virtual Global Internships, Virtual Global Community Engagement opportunities, and global professional development programs. Please visit the Global Learning Hub webpage to discover all programs or email globallearning@ucdavis.edu to set up an advising appointment."
Is the Activities and Recreation Center (ARC) open?,"Due to a state mandate, the ARC will be closed until further notice. For information regarding all Campus Recreation programs and facilities please visit the status and updates page on the Campus Recreation website."
What remote resources are being offered by Campus Recreation?,"To support students during suspended in-person operations, Campus Recreation has created Aggies at Home, featuring virtual programming and resources from all of our units. Aggies at Home includes online workouts, nutrition advice, self-care and wellness resources, instructional videos highlighting fun indoor and outdoor activities, advice on studying and working from home, managing your free time, and more. You can find these great resources on the Campus Recreation website, Instagram and Facebook pages, and YouTube channel."
How will students get the college experience remotely? How will clubs and organizations function?,"Many registered student organizations, or RSOs, are committed to hosting events and serving the community in various ways throughout the pandemic."
What sort of fun extracurricular activities will be available?,"While on-campus gatherings are not permitted, students will find opportunities to meet through remote activities including the undergraduate Orientation program, Graduate Student Orientation, a student organization fair, and even sorority and fraternity recruitment. The Rec Pool is open for lap swimming, the Equestrian Center is offering private riding lessons and Outdoor Adventures is renting equipment for kayaking, camping, rock climbing and more."
Will I still be able to practice and/or compete as a student athlete?,"UC Davis prioritizes the health of our student athletes and community. If athletics activity is able to proceed safely, UC Davis will strictly adhere to state, Yolo County and campus health protocols. In addition, conference- and sport-specific protocols and schedule adjustments may be established. Student athletes who have questions should contact their coach for more information. The Big West Conference announced July 29 that fall sports competition will be delayed until at least January 2021, with the exception of women's and men's basketball. The Big Sky Conference announced on August 7 that football is postponed to spring 2021."
What does UC Davis plan to do to support their international students given new guidance from the U.S. Department of Homeland Security?,"The University of California, representing UC Davis and the other UC campuses, pursued legal action opposing the U.S. Department of Homeland Security’s SEVP guidelines for fall 2020 (announced July 6 and 7). However, the situation has been changing. Continuing F-1 international students in the U.S. can pursue up to 100% remote courses without having to leave the country, and continuing F-1 international students outside the U.S. can take remote classes while remaining in status. Incoming students are subject to additional government restrictions at this time, and UC Davis is committed to ensuring there are plenty of in-person or hybrid course offerings to help them satisfy the government’s requirement. Services for International Students and Scholars (SISS) continues to recommend that students currently in the U.S. not travel abroad if they intend to return to Davis for fall quarter. Please work with your SISS Advisor if you have questions about your plans for fall. For more information visit the SISS webpage."
Where can I find assistance if I have technical problems while taking classes remotely from my home country?,Please visit the Keep Teaching student resources page for assistance with remote learning.
Will international students who cannot travel to the U.S. in fall be able to learn effectively in their courses if they are all offered remotely?,"UC Davis is enabling substantial flexibility to provide all students the opportunity to succeed, excel and thrive in their courses, whether remote or in-person. Faculty are mindful of the varied circumstances that students will be facing — for example, students taking courses in different time zones or without sufficient internet access — and will make reasonable adjustments to address them. Faculty are encouraged, as appropriate, to record lectures and discussion sections, offer flexible testing and promote an inclusive learning environment."
"If I go home and leave the country, will I be able to return to the U.S.?","This is difficult to predict as the situation remains dynamic. SISS continues to recommend that students currently in the U.S. not travel abroad if they intend to return to Davis for fall quarter. Be aware of U.S. policies on visitors traveling to the U.S. directly from certain countries, and be prepared to self-isolate upon arrival back in the U.S. Global Affairs regularly updates the campus travel announcements as new information from the U.S. government becomes available. Services for International Students and Scholars (SISS) within Global Affairs will work with international students to ensure they have the proper visa and travel documents and to update their term plans for fall 2020."
Where can I find information about securing and maintaining employment as a teaching assistant or a graduate student researcher?,"Guidelines for new and continuing international students are in development. It is imperative you stay in contact with your graduate program and Services for International Students and Scholars (SISS). Visit the SISS Announcements,  SISS Student FAQ, and Graduate Student FAQ pages regularly for updates."
Information for Graduate Students,"Please visit the Graduate Students FAQ provided by Graduate Studies. You can also view the COVID-19 information page for graduate students for updates on instruction and research, form submission and degree filing, leave and remote work and graduate studies events, specifically for the graduate student and postdoctoral scholar community."
"If I defer, what are my next steps in regards to housing, financial aid and orientation?",Students who defer to fall 2021 will participate in Orientation 2021 activities beginning spring quarter 2021.
Placement exams are conflicting with end-of-year exams. What are other options?,"Placement exams are scheduled for multiple dates, so students are encouraged to plan ahead and choose dates that work with their end-of-year exams. The Office of the University Registrar provides links to all placement exam schedules."
My school was closed and my final exams have been postponed. Will this affect my admission status?,"In MyAdmissions, please tell us if your school or exam authority knows they will have difficulty meeting UC transcript deadlines as listed in your conditions of admission due to COVID-19."
My school is unable to mail transcripts. What do I do?,The UC Davis website describes several options for sending official transcripts/documents. Please visit the website for updated information.
"Can I send in additional materials for my program to review, even if they haven’t asked for those documents (e.g. if my program requires three letters of recommendation, can I send in four instead)?","No. Programs must ensure that all applicants are considered equally. For that reason, they cannot accept additional application materials they have not specifically requested as a part of their application process. You should not send any materials to the program for review unless they have been specifically requested."
What should I do if I'm not sure how to answer a question on the application?,"If you have questions such as courses taken specific to the major, you may need to contact the graduate program office to which you are applying. If you have general questions about the application system itself, please contact gradadmit@ucdavis.edu."
Can I apply to more than one graduate program at UC Davis in a single term?,"Yes. You are welcome to apply to multiple graduate programs at UC Davis. However, you will need to submit a complete application, including a separate application fee and supplemental materials, for each graduate program."
Can I submit separate applications to the M.S./M.A. and the Ph.D. for a specific graduate program?,"No. Although you’re welcome to apply to multiple graduate programs, you cannot submit an application for multiple *degrees* in a single program. Master's degree programs are very different from Ph.D. programs.  You should review the requirements and program content thoroughly before deciding which degree you would like to pursue."
I found a mistake on my application after I submitted it - can Graduate Studies or the graduate program fix it for me?,"No changes can be made to the content of an application once it has been submitted.  For that reason, applicants are reminded to check their application carefully before they submit it. Notices reminding applicants that they will not be able to change or add any content in their application are displayed prior to submission. NOTE: Do *not* try to correct your application by submitting a new application to the same graduate program. Your second application will not be considered."
"Can I submit my Statement of Purpose, Personal History and Diversity Statement, or other required application content by mail or as an emailed attachment?","No. All of the content included in the online application must be submitted as a part of the online application. For example, applicants should NOT type ""Sent by mail"" or ""Will email statement later"" in the Statement of Purpose/Personal History and Diversity Statement section - it will not be accepted or added to your record."
My graduate program requires additional application materials which are not included in the online application process. What should I do?,Very few graduate programs may require application materials to be submitted using systems other than the online application. Check your program's website  to see if they require any additional application materials (e.g. an artistic or musical portfolio) and how they should be submitted. Do not submit any application materials that are not required by the program. Be sure to read all instructions carefully - most application materials must be submitted as a part of the online application process.
How much are the tuition and fees for graduate school?,"Please visit our Financial Support page for more information about tuition and fees, as well as funding opportunities for graduate students."
How do I get funding for graduate school?,Please visit our Financial Support page for information about graduate school funding opportunities.
How do I know which professor(s) in the graduate program match my research interests?,"The graduate program websites provide information on faculty research interests, and in most cases you will be able to access faculty biographies and publications through the graduate program website."
How do I know if the graduate program requires specific prerequisite courses?,"We recommend that you visit the graduate program webpage and review their application requirements. If the program has specific prerequisites you will find information about them on their website. If you are required to list your prerequisites in the online application, you will also be provided with a direct link to the prerequisite requirements in that section."
The application asks if I am a California resident for tuition purposes. How do I know if I might be considered a California resident?,"International applicants are not eligible for California residency, and domestic applicants must meet specific California residency criteria. We recommend you review the UC Davis Office of the University Registrar (OUR) webpage regarding California Residence for Purposes of Tuition. Once you have reviewed the information on the website you can make your selection in the application. Please note that you are only being asked to answer this question to the best of your knowledge. If you are admitted, OUR will request additional information to make a final determination regarding your residency."
Why does the application include specific questions regarding gender and sexuality?,"For details regarding why these questions are included on the graduate application, please visit our webpage on the subject."
